utc_time,hash_uri,country,platform,channel,is_buyer
2018-08-09 00:56:24,1247c4636f91b4f09c19b4a40250dc3d,United States,Mac,Direct,0
2018-08-09 00:56:35,1c86379ec9f25b72b745f18635a281f6,United States,Windows,Direct,0
2018-08-09 00:56:59,95864664247daf0ccfb01a9c71d42b3d,United States,Windows,Direct,0
2018-08-09 00:57:10,613f65a4defe7983152b032066485a7b,United States,Windows,Direct,0
2018-08-09 00:57:42,d60e35690aaf4011b6343e1bac64ca94,United States,Windows,Direct,0
2018-08-09 00:57:47,f9c2bce809f439f41b62699a062e266e,United States,iOS,Direct,0
2018-08-09 00:58:09,ec17fc6d851553df8c6f430b78868a43,United States,iOS,Direct,1
2018-08-09 00:58:53,b30d775bd0da866b909ecb3d8a98f557,United States,Android,Direct,0
2018-08-09 00:59:14,8f2881c109db5351eb17ba5c84cd5e78,United States,Windows,Direct,0
2018-08-09 00:59:53,de698fd689f092c52e20066704c5876d,United States,Windows,Direct,1
2018-08-09 01:00:03,a7f59e8171c3fcd8d5dd284f2a1975d2,United States,iOS,Direct,1
2018-08-09 01:00:17,301c5b81b87bd3002962e34849abdb95,United States,iOS,Direct,1
2018-08-09 01:00:20,eb28e75d15cd84562b16bf5a478ffdae,United States,Windows,Direct,0
2018-08-09 01:00:39,d60e35690aaf4011b6343e1bac64ca94,United States,Windows,Direct,0
2018-08-09 01:00:59,0c15b7929568e564e357aabf04df3b0f,United States,iOS,Direct,0
2018-08-09 01:01:06,e4dc87c6a9ad0f885b7d6af6bb9a4a4b,United States,iOS,Direct,0
2018-08-09 01:02:31,613f65a4defe7983152b032066485a7b,United States,iOS,Direct,0
2018-08-09 01:02:36,10a3722c3d0a9b62740d2348b5280213,United States,Windows,Direct,0
2018-08-09 01:03:04,7b3a21a33973a2a21dea68b8629a4cf7,United States,Android,Direct,1
2018-08-09 01:03:10,8fd4015b4cb098ccd4d58d26691ab192,United States,Android,Direct,0
2018-08-09 01:03:34,6dc83f1e6a373e036bbaed7240b2ab7e,United States,iOS,Direct,0
2018-08-09 01:04:47,e1e9fc00dbe4d95962c7db80095fa9ca,United States,Linux,Direct,1
2018-08-09 01:05:21,d4b9958f21b74d52f3df5a1015c6deb5,United States,Windows,Direct,0
2018-08-09 01:06:21,d0c80c2faa040a807ce311ed690ffc8a,United States,Windows,Direct,0
2018-08-09 01:07:01,2b7a1f6b461a24627ac6e75625bdfabf,United States,Windows,Direct,0
2018-08-09 01:07:03,1e94db1611c3947fb4b9cc99324929a7,United States,Windows,Direct,0
2018-08-09 01:08:53,7b3a21a33973a2a21dea68b8629a4cf7,United States,Android,Direct,0
2018-08-09 01:09:37,b150398654ff021c2d5b9577ccd33d2c,United States,Windows,Direct,0
2018-08-09 01:09:48,0f3aa820c224f675e2ae482a8b7da57a,United Kingdom,iOS,Direct,0
2018-08-09 01:10:33,8459239ca74132f6cbca9e35e862c849,United States,Windows,Direct,0
2018-08-09 01:10:41,5eb235adfa31be83fbb40df505037746,United States,iOS,Direct,0
2018-08-09 01:11:20,311f31be36fd9cb507e39f1458320b9c,United States,Android,Direct,0
2018-08-09 01:11:43,310ee6574b61260557f07c353f23f1b3,United States,iOS,Direct,0
2018-08-09 01:12:07,8fd4015b4cb098ccd4d58d26691ab192,United States,iOS,Direct,1
2018-08-09 01:13:24,8d18aa33c711055468755487c6548511,United States,Windows,Direct,0
2018-08-09 01:13:52,613f65a4defe7983152b032066485a7b,United States,iOS,Direct,0
2018-08-09 01:13:59,8459239ca74132f6cbca9e35e862c849,United States,Windows,Direct,0
2018-08-09 01:14:02,91a30f9a180eae450df7bd89e81e7454,United States,Windows,Direct,0
2018-08-09 01:14:04,8d3a69229b2d4e283ec533bbf057c390,United States,Android,Direct,0
2018-08-09 01:14:05,cde226834db7881c9221d2e3ea33b29c,United States,iOS,Direct,0
2018-08-09 01:14:10,65e21fd3c788cf401b743786b0028d2c,United States,iOS,Direct,0
2018-08-09 01:14:20,7c7b731244071b9328b4f9b8718a72d5,United States,iOS,Direct,0
2018-08-09 01:14:36,0c15b7929568e564e357aabf04df3b0f,United States,Android,Direct,0
2018-08-09 01:14:56,613f65a4defe7983152b032066485a7b,United States,Windows,Direct,0
2018-08-09 01:15:08,2e04304721463b410320f42cc8c07d02,United States,Windows,Direct,0
2018-08-09 01:15:33,613f65a4defe7983152b032066485a7b,United States,Windows,Direct,0
2018-08-09 01:15:51,ead984685b2d54caa274d8026f33d338,United States,Mac,Direct,1
2018-08-09 01:16:05,bedee6e6d8d5dc0dc235a8e82a45dbf6,United States,Windows,Direct,0
2018-08-09 01:16:27,5139c8b6086825e1f9bf11c31584982a,United States,iOS,Direct,0
2018-08-09 01:16:48,613f65a4defe7983152b032066485a7b,United States,Windows,Direct,0
2018-08-09 01:17:09,7c7b731244071b9328b4f9b8718a72d5,United States,Windows,Direct,1
2018-08-09 01:17:13,13f0905d6c3faf938b6783baaf87b9d1,United States,Mac,Direct,0
2018-08-09 01:17:39,6fbaee4b74f1811b6d2beedc6b4b3924,United States,iOS,Direct,0
2018-08-09 01:17:51,2e04304721463b410320f42cc8c07d02,United States,iOS,Direct,0
2018-08-09 01:19:11,e19e6ac8fd98976299fa11a5184f2f8d,United States,Windows,Direct,0
2018-08-09 01:19:12,10a3722c3d0a9b62740d2348b5280213,United States,Android,Direct,0
2018-08-09 01:19:28,3b0f51613bf2698fa585474267520c65,United States,iOS,Direct,0
2018-08-09 01:21:20,a4f73d907bf9677f4deb1376dbf9e333,United States,Android,Direct,0
2018-08-09 01:21:43,b05a7f53713a50af26dfd620a6048223,United States,iOS,Direct,0
2018-08-09 01:22:18,10a3722c3d0a9b62740d2348b5280213,United States,iOS,Direct,0
2018-08-09 01:22:37,0c15b7929568e564e357aabf04df3b0f,United States,Mac,Direct,0
2018-08-09 01:23:12,7b3a21a33973a2a21dea68b8629a4cf7,United States,iOS,Direct,0
2018-08-09 01:23:25,95864664247daf0ccfb01a9c71d42b3d,United States,Windows,Direct,0
2018-08-09 01:23:38,9dc321048e775d9017e3015eeb8466fd,United States,iOS,Direct,1
2018-08-09 01:23:45,1f32a899734e8c710fe65b83d913ca16,United States,Mac,Direct,0
2018-08-09 01:24:01,046d77f1f69b9d248e15d70a611fcc1d,United States,Mac,Direct,0
2018-08-09 01:24:12,6a823d51d7f3e48c46c89cf3f6cba068,United States,Windows,Direct,0
2018-08-09 01:24:30,cde226834db7881c9221d2e3ea33b29c,United States,iOS,Direct,0
2018-08-09 01:24:34,6abe0d238fb403ad47579cd76d2ebdb3,United States,Mac,Direct,1
2018-08-09 01:24:36,473618e6b72b6d0e6dabdf15ce4ca1b2,United States,iOS,Direct,0
2018-08-09 01:25:04,1af587f89d140017ddc27c3671462a60,United States,iOS,Direct,0
2018-08-09 01:25:14,9dc321048e775d9017e3015eeb8466fd,United States,iOS,Direct,0
2018-08-09 01:25:19,0138d6aadff0f0e49f57b2345cf6b5ee,United States,Mac,Direct,1
2018-08-09 01:25:31,1c35e8cdf9cab0eec502c73826d7538e,United States,iOS,Direct,0
2018-08-09 01:25:38,e1e9fc00dbe4d95962c7db80095fa9ca,Australia,Windows,Direct,0
2018-08-09 01:25:46,7c7b731244071b9328b4f9b8718a72d5,United States,Windows,Direct,1
2018-08-09 01:26:05,e1e9fc00dbe4d95962c7db80095fa9ca,United States,Windows,Direct,0
2018-08-09 01:26:30,de698fd689f092c52e20066704c5876d,United States,Windows,Direct,0
2018-08-09 01:26:51,913c8d371ff4db47fc3f26f724e390d8,United States,iOS,Direct,1
2018-08-09 01:27:34,10a3722c3d0a9b62740d2348b5280213,United States,iOS,Direct,0
2018-08-09 01:27:34,cde226834db7881c9221d2e3ea33b29c,Ireland,iOS,Direct,0
2018-08-09 01:27:44,11476a1dfd0a33a5fa66676db00b39d9,United States,Android,Direct,0
2018-08-09 01:27:48,0c15b7929568e564e357aabf04df3b0f,United States,Windows,Direct,0
2018-08-09 01:28:51,4173b7447f752ccdbb412e199c530f16,United States,Windows,Direct,0
2018-08-09 01:29:08,bedee6e6d8d5dc0dc235a8e82a45dbf6,United States,iOS,Direct,0
2018-08-09 01:29:11,7c7b731244071b9328b4f9b8718a72d5,United States,Windows,Direct,0
2018-08-09 01:29:21,dac6b085715cb0773d36d4d926e9380f,United States,iOS,Direct,0
2018-08-09 01:29:51,0c15b7929568e564e357aabf04df3b0f,United States,Android,Direct,0
2018-08-09 01:30:12,3fa25e38f90b94cefb8cebe0d2f2b510,United States,Windows,Direct,0
2018-08-09 01:30:29,bd849961b46c2be73bd9f684eda772d5,United States,Linux,Direct,0
2018-08-09 01:30:32,5574ae0e3bac097bf062e2a13a7f19a6,United States,Linux,Direct,0
2018-08-09 01:30:39,4d5bd45436238c570b373fdc6371ddc4,United States,iOS,Direct,1
2018-08-09 01:30:53,b2a95dc23f88bad2b20c5dd424ebcd4b,United States,Windows,Direct,0
2018-08-09 01:31:18,463d76b98f652da7a7d88ba17a91de13,United States,Windows,Direct,0
2018-08-09 01:31:30,9f0f0f678b0970e3f8d6e169f43d2dfa,United States,Linux,Direct,1
